iter	Logloss
0	0.6543927874
1	0.6212060547
2	0.5951209542
3	0.5713061523
4	0.5476015625
5	0.5283474121
6	0.5118811733
7	0.4950606166
8	0.4807794364
9	0.4708818359
10	0.4603491908
11	0.4498029436
12	0.4402115653
13	0.4329429408
14	0.4251770717
15	0.4186971261
16	0.4139275949
17	0.4069804687
18	0.4026527972
19	0.3986328474
20	0.3946082241
21	0.3904234445
22	0.385445731
23	0.3820795201
24	0.3798007812
25	0.3759622628
26	0.3723748605
27	0.3705055804
28	0.3688195452
29	0.3671872907
30	0.3646620745
31	0.3629964774
32	0.3616552734
33	0.3604971401
34	0.3587699149
35	0.3576693638
36	0.3563346122
37	0.3553250558
38	0.3541184431
39	0.3524944545
40	0.3512134138
41	0.3504761789
42	0.3496831403
43	0.3487737863
44	0.3480148926
45	0.3474682268
46	0.3459180036
47	0.3447971889
48	0.3442008231
49	0.3435970285
50	0.3431398577
51	0.3425193917
52	0.3417266323
53	0.3411138742
54	0.3406868025
55	0.3396942662
56	0.3388387277
57	0.3385312849
58	0.3380614886
59	0.337527553
60	0.3368115583
61	0.336375558
62	0.3357180525
63	0.3350350865
64	0.334628418
65	0.3342112165
66	0.3337703683
67	0.3334145508
68	0.3330614886
69	0.3327059849
70	0.3323789062
71	0.3320613142
72	0.3315501883
73	0.3310948661
74	0.3304790737
75	0.3300688128
76	0.3298017578
77	0.3293779297
78	0.3290436314
79	0.3288573521
80	0.3284527762
81	0.3279810268
82	0.3276811523
83	0.3272996303
84	0.3269386858
85	0.3265803571
86	0.3263636998
87	0.3260405971
88	0.3258539342
89	0.3256429269
90	0.325273019
91	0.3249920131
92	0.3246304408
93	0.3244432896
94	0.3241690151
95	0.3237970145
96	0.3236815709
97	0.3234609375
98	0.3232839007
99	0.3230970633
100	0.3228082101
101	0.3226141183
102	0.3223833008
103	0.3222102051
104	0.3219642508
105	0.3216804548
106	0.3215301339
107	0.3212637416
108	0.3209616002
109	0.3207555804
110	0.3206530413
111	0.3203770578
112	0.3200046387
113	0.3197363979
114	0.319542899
115	0.3193132673
116	0.3190493164
117	0.3187225167
118	0.3186108398
119	0.3184617048
120	0.3182946429
121	0.3181392299
122	0.3178638393
123	0.3176586914
124	0.3175563267
125	0.3174134696
126	0.317158796
127	0.3170540248
128	0.316851981
129	0.3166064104
130	0.3164478237
131	0.3163210798
132	0.3161043527
133	0.3158679199
134	0.315594029
135	0.3154716448
136	0.3151668527
137	0.315
138	0.3147825405
139	0.3145831473
140	0.3143031529
141	0.3141195592
142	0.3139874093
143	0.3137442104
144	0.3136768276
145	0.3134824916
146	0.3132226563
147	0.3130191127
148	0.3127928292
149	0.3126349051
150	0.3124718541
151	0.3122138672
152	0.3120020578
153	0.3118145926
154	0.3116262556
155	0.3115349121
156	0.3114160854
157	0.3112241908
158	0.3110946917
159	0.3108736747
160	0.3107401297
161	0.3106187221
162	0.3103753836
163	0.3102703334
164	0.3100668248
165	0.30986649
166	0.3096570522
167	0.3094773298
168	0.3093227539
169	0.3090436663
170	0.3087879116
171	0.3086150949
172	0.3084233747
173	0.3082178083
174	0.307821882
175	0.3075885184
176	0.3072671247
177	0.3071768973
178	0.3069507185
179	0.3068193359
180	0.3066477051
181	0.3064819336
182	0.3063233119
183	0.3062339565
184	0.3060351214
185	0.3058063965
186	0.3056496931
187	0.3054792829
188	0.3052398856
189	0.3051160017
190	0.3049978725
191	0.304881522
192	0.3047387695
193	0.3045199498
194	0.3042544643
195	0.3040768345
196	0.3038846261
197	0.3035982143
198	0.3032940499
199	0.3030930873
200	0.302898577
201	0.3027513253
202	0.3025830078
203	0.3023388323
204	0.3020938198
205	0.3019220494
206	0.301778111
207	0.3016282785
208	0.3014983956
209	0.301320452
210	0.3011456822
211	0.3008682687
212	0.3006817104
213	0.3005135324
214	0.3003524693
215	0.3001820592
216	0.2999694475
217	0.2996509835
218	0.2994449637
219	0.2991610631
220	0.2990031738
221	0.2988075126
222	0.298597447
223	0.2984447545
224	0.2983171735
225	0.2980876465
226	0.2979487653
227	0.2977283761
228	0.297495466
229	0.2972872489
230	0.2971057478
231	0.296893764
232	0.2967310617
233	0.2965301339
234	0.2963262765
235	0.296222447
236	0.2960650112
237	0.2958726283
238	0.2957115653
239	0.2954698312
240	0.2953429129
241	0.295116769
242	0.2949365932
243	0.2947199707
244	0.2945252511
245	0.2943319615
246	0.2941546456
247	0.2939426967
248	0.29380256
249	0.2936959403
250	0.2935752999
251	0.2934259905
252	0.2931783622
253	0.2930004185
254	0.2928345424
255	0.2926214076
256	0.2925192871
257	0.292311785
258	0.2921527972
259	0.2920083182
260	0.2918931536
261	0.2916697824
262	0.2914336461
263	0.2912569754
264	0.2910900007
265	0.2909226772
266	0.2906405204
267	0.2905096261
268	0.2903471505
269	0.2901836635
270	0.2900679932
271	0.2898688442
272	0.289753418
273	0.2894926932
274	0.2892928292
275	0.2891573312
276	0.2889317627
277	0.2887528599
278	0.288574986
279	0.2884130336
280	0.288272304
281	0.2880973772
282	0.2879614955
283	0.2878621652
284	0.2876250698
285	0.2873698382
286	0.2871769322
287	0.2869986049
288	0.2867353167
289	0.2865100621
290	0.2863723493
291	0.2862387695
292	0.2860825195
293	0.2859486258
294	0.2857689035
295	0.2855191127
296	0.2853864223
297	0.2852290213
298	0.2850890765
299	0.2849333496
