iter	Passed	Remaining
0	122	36638
1	127	18933
2	131	12969
3	135	10017
4	139	8223
5	143	7014
6	147	6176
7	152	5554
8	155	5043
9	160	4645
10	164	4317
11	168	4043
12	172	3804
13	176	3596
14	180	3423
15	184	3269
16	188	3133
17	192	3013
18	196	2903
19	200	2810
20	204	2719
21	208	2640
22	213	2570
23	217	2502
24	221	2440
25	225	2381
26	230	2328
27	234	2279
28	238	2230
29	242	2185
30	247	2146
31	251	2105
32	255	2067
33	259	2031
34	264	1999
35	268	1968
36	272	1937
37	276	1906
38	280	1879
39	284	1851
40	288	1823
41	294	1806
42	298	1783
43	302	1760
44	307	1741
45	311	1718
46	315	1695
47	319	1675
48	323	1656
49	328	1642
50	332	1624
51	336	1606
52	340	1588
53	345	1571
54	349	1554
55	353	1539
56	357	1523
57	361	1507
58	365	1492
59	369	1478
60	373	1465
61	378	1451
62	382	1437
63	386	1425
64	390	1412
65	394	1399
66	398	1387
67	403	1375
68	407	1363
69	411	1351
70	415	1338
71	419	1328
72	423	1316
73	427	1305
74	431	1294
75	435	1283
76	439	1273
77	444	1264
78	448	1254
79	452	1244
80	456	1234
81	460	1225
82	464	1215
83	468	1205
84	472	1195
85	476	1186
86	480	1177
87	484	1167
88	488	1158
89	492	1149
90	496	1140
91	500	1131
92	504	1122
93	507	1112
94	512	1105
95	516	1097
96	520	1088
97	524	1080
98	528	1072
99	532	1064
100	536	1056
101	540	1049
102	544	1041
103	548	1033
104	552	1026
105	558	1022
106	562	1014
107	566	1007
108	570	999
109	574	992
110	579	987
111	583	980
112	588	973
113	592	966
114	596	960
115	601	953
116	605	946
117	609	939
118	613	933
119	617	926
120	621	919
121	626	913
122	630	906
123	634	900
124	638	893
125	642	887
126	646	881
127	650	874
128	655	868
129	659	862
130	663	855
131	667	849
132	671	843
133	675	837
134	680	831
135	683	824
136	688	818
137	692	812
138	696	806
139	700	800
140	704	794
141	708	788
142	712	782
143	716	776
144	720	770
145	724	764
146	728	758
147	732	752
148	736	746
149	741	741
150	745	735
151	749	729
152	753	724
153	757	718
154	761	712
155	766	707
156	770	701
157	774	695
158	778	690
159	782	684
160	786	679
161	791	673
162	795	668
163	799	662
164	803	657
165	807	651
166	811	646
167	815	640
168	819	635
169	823	630
170	827	624
171	831	619
172	835	613
173	839	608
174	844	602
175	848	597
176	851	592
177	855	586
178	860	581
179	864	576
180	868	571
181	873	566
182	877	560
183	881	555
184	885	550
185	889	545
186	893	540
187	898	535
188	902	530
189	907	525
190	911	519
191	915	514
192	919	509
193	923	504
194	927	499
195	931	494
196	935	489
197	940	484
198	944	479
199	948	474
200	952	468
201	955	463
202	959	458
203	963	453
204	968	448
205	972	443
206	976	438
207	980	433
208	984	428
209	988	423
210	993	418
211	997	413
212	1001	409
213	1005	404
214	1010	399
215	1014	394
216	1018	389
217	1022	384
218	1026	379
219	1030	374
220	1035	370
221	1039	365
222	1043	360
223	1047	355
224	1051	350
225	1056	345
226	1060	341
227	1064	336
228	1068	331
229	1073	326
230	1077	321
231	1081	317
232	1085	312
233	1090	307
234	1094	302
235	1098	297
236	1102	293
237	1106	288
238	1110	283
239	1114	278
240	1119	274
241	1123	269
242	1127	264
243	1131	259
244	1136	255
245	1140	250
246	1144	245
247	1148	240
248	1152	236
249	1156	231
250	1160	226
251	1164	221
252	1168	217
253	1172	212
254	1176	207
255	1181	203
256	1185	198
257	1189	193
258	1194	189
259	1198	184
260	1202	179
261	1207	175
262	1211	170
263	1215	165
264	1219	161
265	1223	156
266	1228	151
267	1232	147
268	1236	142
269	1240	137
270	1245	133
271	1249	128
272	1253	123
273	1257	119
274	1261	114
275	1266	110
276	1270	105
277	1274	100
278	1278	96
279	1282	91
280	1286	87
281	1290	82
282	1294	77
283	1298	73
284	1302	68
285	1307	63
286	1311	59
287	1315	54
288	1319	50
289	1323	45
290	1327	41
291	1331	36
292	1335	31
293	1339	27
294	1343	22
295	1347	18
296	1351	13
297	1355	9
298	1360	4
299	1364	0
