iter	Passed	Remaining
0	3	1113
1	7	1101
2	11	1107
3	14	1084
4	18	1087
5	22	1086
6	26	1104
7	30	1101
8	34	1101
9	37	1100
10	41	1103
11	45	1099
12	49	1094
13	53	1088
14	57	1083
15	60	1081
16	64	1079
17	68	1074
18	72	1070
19	76	1065
20	79	1060
21	83	1057
22	87	1053
23	91	1051
24	95	1046
25	99	1044
26	102	1038
27	106	1039
28	110	1036
29	114	1029
30	117	1021
31	121	1019
32	125	1015
33	129	1010
34	132	1005
35	136	1003
36	140	999
37	144	994
38	147	990
39	151	985
40	155	981
41	159	978
42	163	974
43	166	970
44	170	966
45	174	962
46	177	957
47	181	954
48	185	951
49	189	947
50	193	945
51	197	941
52	201	937
53	205	933
54	209	931
55	213	929
56	217	925
57	221	922
58	224	917
59	228	914
60	232	910
61	236	906
62	240	903
63	243	899
64	248	896
65	251	892
66	255	889
67	259	886
68	263	882
69	267	877
70	270	873
71	274	869
72	278	866
73	282	862
74	286	859
75	290	855
76	294	852
77	298	848
78	301	844
79	305	840
80	309	836
81	313	833
82	317	829
83	321	825
84	324	821
85	328	818
86	332	813
87	335	807
88	338	803
89	342	799
90	346	796
91	350	791
92	354	788
93	358	784
94	361	781
95	365	777
96	369	773
97	373	770
98	377	766
99	381	762
100	384	758
101	388	754
102	392	750
103	396	747
104	400	743
105	403	739
106	407	735
107	411	731
108	415	727
109	419	723
110	422	720
111	426	716
112	430	712
113	434	708
114	438	704
115	442	701
116	445	697
117	449	693
118	453	689
119	457	685
120	461	682
121	464	678
122	468	674
123	472	670
124	476	666
125	479	662
126	483	658
127	487	655
128	491	651
129	495	647
130	498	643
131	502	639
132	506	635
133	509	631
134	513	627
135	517	624
136	521	620
137	525	616
138	528	612
139	532	608
140	536	605
141	540	601
142	544	597
143	548	593
144	551	589
145	554	585
146	558	581
147	562	577
148	566	574
149	570	570
150	574	566
151	578	562
152	582	559
153	585	555
154	589	551
155	593	547
156	597	543
157	600	540
158	604	536
159	608	532
160	612	528
161	616	524
162	619	521
163	623	517
164	627	513
165	631	509
166	635	505
167	638	501
168	642	498
169	646	494
170	650	490
171	654	486
172	657	482
173	661	479
174	665	475
175	669	471
176	673	468
177	677	464
178	681	460
179	684	456
180	688	452
181	692	448
182	696	445
183	699	441
184	703	437
185	707	433
186	711	429
187	715	425
188	718	422
189	722	418
190	726	414
191	730	410
192	734	407
193	737	403
194	741	399
195	745	395
196	749	391
197	752	387
198	756	383
199	760	380
200	763	376
201	767	372
202	771	368
203	775	364
204	779	361
205	782	357
206	786	353
207	790	349
208	794	345
209	798	342
210	802	338
211	806	334
212	810	330
213	814	327
214	818	323
215	822	319
216	825	315
217	829	311
218	833	308
219	836	304
220	840	300
221	844	296
222	848	292
223	852	289
224	856	285
225	859	281
226	863	277
227	867	274
228	871	270
229	875	266
230	878	262
231	882	258
232	886	254
233	890	251
234	894	247
235	897	243
236	901	239
237	905	235
238	909	232
239	913	228
240	917	224
241	921	220
242	924	216
243	928	213
244	932	209
245	936	205
246	940	201
247	944	198
248	948	194
249	951	190
250	955	186
251	959	182
252	963	178
253	967	175
254	970	171
255	974	167
256	978	163
257	982	159
258	986	156
259	990	152
260	993	148
261	997	144
262	1001	140
263	1005	137
264	1009	133
265	1013	129
266	1016	125
267	1020	121
268	1024	118
269	1028	114
270	1032	110
271	1036	106
272	1040	102
273	1044	99
274	1047	95
275	1051	91
276	1054	87
277	1058	83
278	1062	79
279	1066	76
280	1070	72
281	1074	68
282	1078	64
283	1082	60
284	1086	57
285	1089	53
286	1094	49
287	1098	45
288	1101	41
289	1105	38
290	1109	34
291	1113	30
292	1117	26
293	1121	22
294	1126	19
295	1130	15
296	1135	11
297	1139	7
298	1143	3
299	1148	0
